"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"259","60 Super Useful R Language Tips (and counting).. Free PDF Download! 
http://t.co/TdzJtYUj1X #rstats #datascience http://t.co/UT0oQTORX0",FALSE,96,NA,2015-03-17 16:22:52,FALSE,NA,"577867709058195457",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",65,FALSE,FALSE,NA,NA
"84","Ggplot2 Quick reference by tasks and code examples - Bookmarked! #rstats #DataScience 
https://t.co/1ymwCfzHJg https://t.co/WNxnrrn1ae",FALSE,102,NA,2016-01-05 04:59:13,FALSE,NA,"684237692419215360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",60,FALSE,FALSE,NA,NA
"169","Know what regression modeling to use in what type of problems, with code! #rstats #datascience http://t.co/D3KcbSKpek http://t.co/bZoGs4ZGo3",FALSE,98,NA,2015-07-21 03:09:42,FALSE,NA,"623328972848234496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",60,FALSE,FALSE,NA,NA
"111","A fast paced R tutorial that makes R simple and clear. Free! https://t.co/UIWPIN6a7B #rstats #datascience https://t.co/YTtQidP5ki",FALSE,103,NA,2015-11-04 15:28:42,FALSE,NA,"661928060715864064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",59,FALSE,FALSE,NA,NA
"17","R Tip: Create ggplot2 facets in the shape of a map with the new `geofacet` https://t.co/dtCbHhJ4ol #rstats… https://t.co/qnHOHeA3H1",FALSE,137,NA,2017-06-22 09:16:18,TRUE,NA,"877817511873462272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",57,FALSE,FALSE,NA,NA
"56","R Tip: Use influenceIndexPlot(lmmod, id.n=3) to visualize influential observations #rstats #datascience https://t.co/MGVTyl7brW",FALSE,121,NA,2016-04-22 04:01:34,FALSE,NA,"723361073974251520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",57,FALSE,FALSE,NA,NA
"15","R Tip: How to calculate the 95% confidence interval for the beta coefficients in a linear regression model in R… https://t.co/9fgBYruRM8",FALSE,181,NA,2017-08-04 03:42:35,TRUE,NA,"893316206102327296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",56,FALSE,FALSE,NA,NA
"31","Detect and treat multivariate outliers in R #rstats #datascience @datascienceplus https://t.co/kHnNVuj3zW https://t.co/QO28Ymj0gv",FALSE,81,NA,2016-12-11 04:23:16,FALSE,NA,"807802909026983936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",54,FALSE,FALSE,NA,NA
"47","R Tip: Use caret::featurePlot(x, y) to see how the Y is spread across multiple features. #rstats #datascience https://t.co/dg7lXO3rIl",FALSE,121,NA,2016-07-23 06:12:03,FALSE,NA,"756733596417691648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",52,FALSE,FALSE,NA,NA
"254","Learn how to process 100Million rows in 12 secs in R. (hint: Rcpp) http://t.co/krYSs1Se3x #rstats #datascience http://t.co/puPl3U5mDS",FALSE,79,NA,2015-03-30 15:11:50,FALSE,NA,"582560875141169153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",51,FALSE,FALSE,NA,NA
